metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,KANTON,Aargau,8.3,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,SCHWEIZ,Schweiz,8.8,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,GEMEINDE,Baden,8.0,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,MS_REGION,MS-Region Baden,8.2,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,KANTON,Aargau,8.4,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,SCHWEIZ,Schweiz,8.8,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,GEMEINDE,Baden,4315,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,MS_REGION,MS-Region Baden,19506,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,KANTON,Aargau,112145,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,SCHWEIZ,Schweiz,1253455,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,GEMEINDE,Baden,8905,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,MS_REGION,MS-Region Baden,36030,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,KANTON,Aargau,182125,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,SCHWEIZ,Schweiz,2843003,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_unit_stock,Eigentumswohnungsbestand,IMMOBILIENBESTAND,2024,GEMEINDE,Baden,1930,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_unit_stock,Eigentumswohnungsbestand,IMMOBILIENBESTAND,2024,MS_REGION,MS-Region Baden,10645,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_unit_stock,Eigentumswohnungsbestand,IMMOBILIENBESTAND,2024,KANTON,Aargau,63381,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
condo_unit_stock,Eigentumswohnungsbestand,IMMOBILIENBESTAND,2024,SCHWEIZ,Schweiz,977638,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_stock,Einfamilienhausbestand,IMMOBILIENBESTAND,2024,GEMEINDE,Baden,1932,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
house_stock,Einfamilienhausbestand,IMMOBILIENBESTAND,2024,MS_REGION,MS-Region Baden,12257,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
